Mod:Item:MetaData, Localized Name
thermalfoundation:tool.hoe_invar, Инваровая мотыга
thermalfoundation:tool.bow_invar, Инваровый укрепленный лук
thermalfoundation:tool.fishing_rod_invar, Инваровая удочка
thermalfoundation:tool.shears_invar, Инваровые ножницы
thermalfoundation:tool.sickle_invar, Инваровый серп
thermalfoundation:tool.hammer_invar, Инваровый молот
thermalfoundation:tool.excavator_invar, Инваровый заступ
thermalfoundation:tool.shield_invar, Инваровый щит
thermalfoundation:tool.sword_bronze, Бронзовый меч
thermalfoundation:tool.shovel_bronze, Бронзовая лопата
thermalfoundation:tool.pickaxe_bronze, Бронзовая кирка
thermalfoundation:tool.axe_bronze, Бронзовый топор
thermalfoundation:tool.hoe_bronze, Бронзовая мотыга
thermalfoundation:tool.bow_bronze, Бронзовый укрепленный лук
thermalfoundation:tool.fishing_rod_bronze, Бронзовая удочка
thermalfoundation:tool.shears_bronze, Бронзовые ножницы
thermalfoundation:tool.sickle_bronze, Бронзовые серп
thermalfoundation:tool.hammer_bronze, Бронзовый молот
thermalfoundation:tool.excavator_bronze, Бронзовый заступ
thermalfoundation:tool.shield_bronze, Бронзовый щит
thermalfoundation:tool.sword_constantan, Константановый меч
thermalfoundation:tool.shovel_constantan, Константановая лопата
thermalfoundation:tool.pickaxe_constantan, Константановая кирка
thermalfoundation:tool.axe_constantan, Константановый топор
thermalfoundation:tool.hoe_constantan, Константановая мотыга
thermalfoundation:tool.bow_constantan, Константановый укрепленный лук
thermalfoundation:tool.fishing_rod_constantan, Константановая удочка
thermalfoundation:tool.shears_constantan, Константановые ножницы
thermalfoundation:tool.sickle_constantan, Константановый серп
thermalfoundation:tool.hammer_constantan, Константановый молот
thermalfoundation:tool.excavator_constantan, Константановый заступ
thermalfoundation:tool.shield_constantan, Константановый щит
thermalfoundation:tool.shears_wood, Деревянные ножницы
thermalfoundation:tool.sickle_wood, Деревянный серп
thermalfoundation:tool.hammer_wood, Деревянный молот
thermalfoundation:tool.excavator_wood, Деревянный заступ
thermalfoundation:tool.bow_stone, Каменный укрепленный лук
thermalfoundation:tool.fishing_rod_stone, Каменная удочка
thermalfoundation:tool.shears_stone, Каменные ножницы
thermalfoundation:tool.sickle_stone, Каменный серп
thermalfoundation:tool.hammer_stone, Каменный молот
thermalfoundation:tool.excavator_stone, Каменный заступ
thermalfoundation:tool.shield_stone, Каменный щит
thermalfoundation:tool.bow_iron, Железный укрепленный лук
thermalfoundation:tool.fishing_rod_iron, Железная удочка
thermalfoundation:tool.sickle_iron, Железный серп
thermalfoundation:tool.hammer_iron, Железный молот
thermalfoundation:tool.excavator_iron, Железный заступ
thermalfoundation:tool.shield_iron, Железный щит
thermalfoundation:tool.bow_diamond, Алмазный укрепленный лук
thermalfoundation:tool.fishing_rod_diamond, Алмазная удочка
thermalfoundation:tool.shears_diamond, Алмазные ножницы
thermalfoundation:tool.sickle_diamond, Алмазный серп
thermalfoundation:tool.hammer_diamond, Алмазный молот
thermalfoundation:tool.excavator_diamond, Алмазный заступ
thermalfoundation:tool.shield_diamond, Алмазный щит
thermalfoundation:tool.bow_gold, Золотой укрепленный лук
thermalfoundation:tool.fishing_rod_gold, Золотая удочка
thermalfoundation:tool.shears_gold, Золотые ножницы
thermalfoundation:tool.sickle_gold, Золотой серп
thermalfoundation:tool.hammer_gold, Золотой молот
thermalfoundation:tool.excavator_gold, Золотой заступ
thermalfoundation:tool.shield_gold, Золотой щит
thermalfoundation:horse_armor_copper, Медная конская броня
thermalfoundation:horse_armor_tin, Оловянная конская броня
thermalfoundation:horse_armor_silver, Серебряная конская броня
thermalfoundation:horse_armor_lead, Свинцовая конская броня
thermalfoundation:horse_armor_aluminum, Алюминиевая конская броня
thermalfoundation:horse_armor_nickel, Никелевая конская броня
thermalfoundation:horse_armor_platinum, Платиновая конская броня
thermalfoundation:horse_armor_steel, Стальная конская броня
thermalfoundation:horse_armor_electrum, Электрумовая конская броня
thermalfoundation:horse_armor_invar, Инваровая конская броня
thermalfoundation:horse_armor_bronze, Бронзовая конская броня
thermalfoundation:horse_armor_constantan, Константановая конская броня
thermalfoundation:fluid_crude_oil, Сырая нефть
thermalfoundation:fluid_redstone, Дестабилизированный красный камень
thermalfoundation:fluid_glowstone, Заряженный светящийся камень
thermalfoundation:fluid_ender, Резонирующий эндериум
thermalfoundation:fluid_pyrotheum, Пылающий пиротеум
thermalfoundation:fluid_cryotheum, Ледяной криотеум
thermalfoundation:fluid_aerotheum, Невесомый аэротеум
thermalfoundation:fluid_petrotheum, Тектонический петротеум
thermalfoundation:fluid_mana, Изначальная мана
thermalexpansion:machine:0, Редстоуновая печь (Основной)
thermalexpansion:machine:1, Измельчитель (Основной)
thermalexpansion:machine:2, Лесопилка (Основной)
thermalexpansion:machine:3, Индукционная плавильня (Основной)
thermalexpansion:machine:4, Фитогенный светильник (Основной)
thermalexpansion:machine:5, Компактор (Основной)
thermalexpansion:machine:6, Магмовый тигель (Основной)
thermalexpansion:machine:7, Дистилятор (Основной)
thermalexpansion:machine:8, Распределитель жидкостей (Основной)
thermalexpansion:machine:9, Энергетический зарядник (Основной)
thermalexpansion:machine:10, Центробежный разделитель (Основной)
thermalexpansion:machine:11, Последовательный сборщик (Основной)
thermalexpansion:machine:12, Алхимическая зельеварка (Основной)
thermalexpansion:machine:13, Чародейский энсорцеллатор (Основной)
thermalexpansion:machine:14, Ледниковый осадитель (Основной)
thermalexpansion:machine:15, Вулканический пресс (Основной)
thermalexpansion:device:0, Водный накопитель
thermalexpansion:device:1, Аннулятор
thermalexpansion:device:2, Термальный посредник
thermalexpansion:device:3, Древесный выжиматель
thermalexpansion:device:4, Рыболов
thermalexpansion:device:5, Предметный буфер
thermalexpansion:device:6, Жидкостный буфер
thermalexpansion:device:7, Лексический трансмутатор
thermalexpansion:device:8, Проницательный конденсатор
thermalexpansion:device:9, Рассеиватель отваров
thermalexpansion:device:10, Факторизатор
thermalexpansion:device:11, Инкапсулятор существ
thermalexpansion:device:12, Ваккумулятор
thermalexpansion:dynamo:0, Паровой генератор (Основной)
thermalexpansion:dynamo:1, Магмовый генератор (Основной)
thermalexpansion:dynamo:2, Компрессионный генератор (Основной)
thermalexpansion:dynamo:3, Реагентный генератор (Основной)
thermalexpansion:dynamo:4, Истощающий генератор (Основной)
thermalexpansion:dynamo:5, Нумизматический генератор (Основной)
thermalexpansion:cell:0, Энергетическая ячейка (Основной)
thermalexpansion:tank:0, Переносной резервуар (Основной)
thermalexpansion:cache:0, Ящик (Основной)
thermalexpansion:strongbox:0, Сейф (Основной)
thermalexpansion:capacitor:0, Флаксовый конденсатор (основной)
thermalexpansion:capacitor:1, Флаксовый конденсатор (усиленный)
thermalexpansion:capacitor:2, Флаксовый конденсатор (укреплённый)
thermalexpansion:capacitor:3, Флаксовый конденсатор (синаловый)
thermalexpansion:capacitor:4, Флаксовый конденсатор (резонирующий)
thermalexpansion:capacitor:32000, Флаксовый конденсатор (творческий)
thermalexpansion:reservoir:0, Резервуар (основной)
thermalexpansion:reservoir:1, Резервуар (усиленный)
thermalexpansion:reservoir:2, Резервуар (укреплённый)
thermalexpansion:reservoir:3, Резервуар (синаловый)
thermalexpansion:reservoir:4, Резервуар (резонирующий)
thermalexpansion:reservoir:32000, Резервуар (творческий)
thermalexpansion:satchel:0, Сумка (основная)
thermalexpansion:satchel:1, Сумка (усиленная)
thermalexpansion:satchel:2, Сумка (укреплённая)
thermalexpansion:satchel:3, Сумка (синаловая)
thermalexpansion:satchel:4, Сумка (резонирующая)
thermalexpansion:satchel:100, Сумка (пустотная)
thermalexpansion:satchel:32000, Сумка (творческая)
thermalexpansion:frame:0, Рамка механизма
thermalexpansion:frame:64, Рамка устройства
thermalexpansion:frame:128, Рамка энергетической ячейки
thermalexpansion:frame:129, Рамка усиленной энергетической ячейки
thermalexpansion:frame:130, Рамка укреплённой энергетической ячейки (пустая)
thermalexpansion:frame:131, Рамка синаловой энергетической ячейки (пустая)
thermalexpansion:frame:132, Рамка резонирующей энергетической ячейки (пустая)
thermalexpansion:frame:146, Рамка укреплённой энергетической ячейки (полная)
thermalexpansion:frame:147, Рамка синаловой энергетической ячейки (полная)
thermalexpansion:frame:148, Рамка резонирующей энергетической ячейки (полная)
thermalexpansion:augment:128, Расширение: Вспомогательная принимающая катушка
thermalexpansion:augment:129, Расширение: Вспомогательное сито
thermalexpansion:augment:130, Расширение: Камера аннулирования
thermalexpansion:augment:256, Расширение: Тривекционная камера
thermalexpansion:augment:257, Расширение: Флаксовый анодизатор
thermalexpansion:augment:258, Расширение: Пиролитический преобразователь
thermalexpansion:augment:273, Расширение: Тектонический инициатор
thermalexpansion:augment:288, Расширение: Воронка для смолы
thermalexpansion:augment:303, Расширение: Металлургический восстановитель
thermalexpansion:augment:304, Расширение: Пиро-концентратор
thermalexpansion:augment:320, Расширение: Восстановитель питательных веществ
thermalexpansion:augment:323, Расширение: Обогащатель саженцев
thermalexpansion:augment:324, Расширение: Монокультурный цикл
thermalexpansion:augment:336, Расширение: Нумизматический пресс
thermalexpansion:augment:337, Расширение: Механический штамп
thermalexpansion:augment:352, Расширение: Пироконвективная петля
thermalexpansion:augment:368, Расширение: Рефлаксовый столб
thermalexpansion:augment:369, Расширение: Алхимическая реторта
thermalexpansion:augment:400, Расширение: Концентратор связей Флакса
thermalexpansion:augment:401, Расширение: Флаксовый реконструитель
thermalexpansion:augment:402, Расширение: Параболическая флаксовая муфта
thermalexpansion:augment:416, Расширение: Аппарат для предварительной установки
thermalexpansion:augment:432, Расширение: Проверка шаблона
thermalexpansion:augment:433, Расширение: Жидкостное производство
thermalexpansion:augment:448, Расширение: Реагентный восстановитель
thermalexpansion:augment:496, Расширение: Пирокластические инъекции
thermalexpansion:augment:497, Расширение: Осколочное осаждение
thermalexpansion:augment:512, Расширение: Вспомогательная отдающая катушка
thermalexpansion:augment:513, Расширение: Топливный катализатор
thermalexpansion:augment:514, Расширение: Канал отдающей катушки
thermalexpansion:augment:515, Расширение: Ограничитель поля намагничивания
thermalexpansion:augment:576, Расширение: Преобразующий бойлер
thermalexpansion:augment:640, Расширение: Преобразующая турбина
thermalexpansion:augment:656, Расширение: Изэнтропическое водохранилище
thermalexpansion:augment:672, Расширение: Охлаждение с закрытым контуром
thermalexpansion:augment:673, Расширение: Свеча зажигания
thermalexpansion:augment:674, Расширение: Агитационный манифольд
thermalexpansion:augment:688, Расширение: Элементарный катализатор
thermalexpansion:augment:704, Расширение: Дизъюнктивное извлечение
thermalexpansion:augment:720, Расширение: Лапидарная калибровка
thermalexpansion:florb:0, Флюидный шарик (Пусто§r)
thermalexpansion:florb:1, Магматический флюидный шарик (Пусто§r)
thermalexpansion:morb:0, Биошарик (Пусто§r)
thermalexpansion:morb:1, Многоразовый биошарик (Пусто§r)
forge:bucketfilled, %s Ведро
appliedenergistics2:quartz_ore, Руда истинного кварца
appliedenergistics2:charged_quartz_ore, Заряженная руда истинного кварца
appliedenergistics2:matrix_frame, Каркас матрицы
appliedenergistics2:quartz_block, Блок истинного кварца
appliedenergistics2:quartz_pillar, Колонна истинного кварца
appliedenergistics2:chiseled_quartz_block, Резной блок истинного кварца
appliedenergistics2:quartz_glass, Кварцевое стекло
appliedenergistics2:quartz_vibrant_glass, Энергичное кварцевое стекло
appliedenergistics2:quartz_fixture, Светильник из заряженного кварца
appliedenergistics2:fluix_block, Изменчивый блок
appliedenergistics2:sky_stone_block, Небесный камень
appliedenergistics2:smooth_sky_stone_block, Блок небесного камня
appliedenergistics2:sky_stone_brick, Кирпич небесного камня
appliedenergistics2:sky_stone_small_brick, Малый кирпич небесного камня
appliedenergistics2:sky_stone_chest, Сундук из небесного камня
appliedenergistics2:smooth_sky_stone_chest, Сундук из блока небесного камня
appliedenergistics2:sky_compass, Метеоритный компас
appliedenergistics2:grindstone, Кварцевый дробитель
appliedenergistics2:crank, Деревянная рукоятка
appliedenergistics2:inscriber, Высекатель
appliedenergistics2:wireless_access_point, МЭ беспроводная точка доступа
appliedenergistics2:charger, Зарядник
appliedenergistics2:tiny_tnt, Маленький динамит
appliedenergistics2:security_station, МЭ терминал безопасности
appliedenergistics2:quantum_ring, МЭ квантовое кольцо
appliedenergistics2:quantum_link, МЭ камера квантовой связи
appliedenergistics2:spatial_pylon, Пространственный пилон
appliedenergistics2:spatial_io_port, Пространственный порт ввода\вывода
appliedenergistics2:controller, МЭ контроллер
appliedenergistics2:drive, МЭ накопитель
appliedenergistics2:chest, МЭ сундук
appliedenergistics2:interface, МЭ интерфейс
appliedenergistics2:fluid_interface, ME Fluid Interface
appliedenergistics2:cell_workbench, Верстак для ячеек
appliedenergistics2:io_port, МЭ порт ввода\вывода
appliedenergistics2:condenser, Конденсатор материи
appliedenergistics2:energy_acceptor, Приёмщик энергии
appliedenergistics2:vibration_chamber, Вибрационная камера
appliedenergistics2:quartz_growth_accelerator, Ускоритель роста кристаллов
appliedenergistics2:energy_cell, Энергетическая ячейка
appliedenergistics2:dense_energy_cell, Плотная энергетическая ячейка
appliedenergistics2:creative_energy_cell, Творческая энергетическая ячейка
appliedenergistics2:crafting_unit, Блок крафта
appliedenergistics2:crafting_accelerator, Блок обработки крафта
appliedenergistics2:crafting_storage_1k, 1К хранилище крафта
appliedenergistics2:crafting_storage_4k, 4К хранилище крафта
appliedenergistics2:crafting_storage_16k, 16К хранилище крафта
appliedenergistics2:crafting_storage_64k, 64К хранилище крафта
appliedenergistics2:crafting_monitor, Монитор крафта
appliedenergistics2:molecular_assembler, Молекулярный сборщик
appliedenergistics2:light_detector, Светильник обнаружения света
appliedenergistics2:paint, tile.appliedenergistics2.paint.name
appliedenergistics2:sky_stone_stairs, Ступеньки из небесного камня
appliedenergistics2:smooth_sky_stone_stairs, Ступеньки из блока небесного камня
appliedenergistics2:sky_stone_brick_stairs, Ступеньки из кирпича небесного камня
appliedenergistics2:sky_stone_small_brick_stairs, Ступеньки из малого кирпича небесного камня
appliedenergistics2:fluix_stairs, Изменчивые ступеньки
appliedenergistics2:quartz_stairs, Ступеньки из истинного кварца
appliedenergistics2:chiseled_quartz_stairs, Ступеньки из резного истинного кварца
appliedenergistics2:quartz_pillar_stairs, Ступеньки из колонны истинного кварца
appliedenergistics2:cable_bus, AE2 кабель и/или шина
appliedenergistics2:sky_stone_slab:0, Плита из небесного камня
appliedenergistics2:smooth_sky_stone_slab:0, Плита из блока небесного камня
appliedenergistics2:sky_stone_brick_slab:0, Плита из кирпича небесного камня
appliedenergistics2:sky_stone_small_brick_slab:0, Плита из малого кирпича небесного камня
appliedenergistics2:fluix_slab:0, Изменчивая плита
appliedenergistics2:quartz_slab:0, Плита из истинного кварца
appliedenergistics2:chiseled_quartz_slab:0, Плита из резного истинного кварца
appliedenergistics2:quartz_pillar_slab:0, Плита из колонны истинного кварца
appliedenergistics2:certus_quartz_axe, Топор из истинного кварца
appliedenergistics2:certus_quartz_hoe, Мотыга из истинного кварца
appliedenergistics2:certus_quartz_spade, Лопата из истинного кварца
appliedenergistics2:certus_quartz_pickaxe, Кирка из истинного кварца
appliedenergistics2:certus_quartz_sword, Меч из истинного кварца
appliedenergistics2:certus_quartz_wrench, Гаечный ключ из истинного кварца
appliedenergistics2:certus_quartz_cutting_knife, Нож из истинного кварца
appliedenergistics2:nether_quartz_axe, Топор из незер-кварца
appliedenergistics2:nether_quartz_hoe, Мотыга из незер-кварца
appliedenergistics2:nether_quartz_spade, Лопата из незер-кварца
appliedenergistics2:nether_quartz_pickaxe, Кирка из незер-кварца
appliedenergistics2:nether_quartz_sword, Меч из незер-кварца
appliedenergistics2:nether_quartz_wrench, Гаечный ключ из незер-кварца
appliedenergistics2:nether_quartz_cutting_knife, Нож из незер-кварца
appliedenergistics2:entropy_manipulator, Манипулятор энтропией
appliedenergistics2:wireless_terminal, Беспроводной терминал
appliedenergistics2:charged_staff, Заряженный посох
appliedenergistics2:matter_cannon, Материальная пушка
appliedenergistics2:portable_cell, Переносная ячейка
appliedenergistics2:color_applicator, Аппликатор цвета
appliedenergistics2:biometric_card, Биометрическая карта
appliedenergistics2:memory_card, Карта памяти
appliedenergistics2:network_tool, Сетевой инструмент
appliedenergistics2:creative_storage_cell, Творческая МЭ ячейка хранения
appliedenergistics2:view_cell, Ячейка представления
appliedenergistics2:storage_cell_1k, 1К МЭ ячейка хранения
appliedenergistics2:storage_cell_4k, 4К МЭ ячейка хранения
appliedenergistics2:storage_cell_16k, 16К МЭ ячейка хранения
appliedenergistics2:storage_cell_64k, 64К МЭ ячейка хранения
appliedenergistics2:fluid_storage_cell_1k, 1k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_4k, 4k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_16k, 16k ME Fluid Storage Cell
appliedenergistics2:fluid_storage_cell_64k, 64k ME Fluid Storage Cell
appliedenergistics2:spatial_storage_cell_2_cubed, 2³ пространственная ячейка хранения
appliedenergistics2:spatial_storage_cell_16_cubed, 16³ пространственная ячейка хранения
appliedenergistics2:spatial_storage_cell_128_cubed, 128³ пространственная ячейка хранения
appliedenergistics2:facade:0, Кабельный фасад - Камень
appliedenergistics2:facade:0, Кабельный фасад - Гранит
appliedenergistics2:facade:0, Кабельный фасад - Полированный гранит
appliedenergistics2:facade:0, Кабельный фасад - Диорит
appliedenergistics2:facade:0, Кабельный фасад - Полированный диорит
appliedenergistics2:facade:0, Кабельный фасад - Андезит
appliedenergistics2:facade:0, Кабельный фасад - Полированный андезит
appliedenergistics2:facade:0, Кабельный фасад - Дёрн
appliedenergistics2:facade:0, Кабельный фасад - Земля
appliedenergistics2:facade:0, Кабельный фасад - Каменистая земля
appliedenergistics2:facade:0, Кабельный фасад - Подзол
appliedenergistics2:facade:0, Кабельный фасад - Булыжник
appliedenergistics2:facade:0, Кабельный фасад - Дубовые доски
appliedenergistics2:facade:0, Кабельный фасад - Еловые доски
appliedenergistics2:facade:0, Кабельный фасад - Берёзовые доски
appliedenergistics2:facade:0, Кабельный фасад - Доски из тропического дерева
appliedenergistics2:facade:0, Кабельный фасад - Акациевые доски
appliedenergistics2:facade:0, Кабельный фасад - Доски из тёмного дуба
appliedenergistics2:facade:0, Кабельный фасад - Бедрок
appliedenergistics2:facade:0, Кабельный фасад - Песок
appliedenergistics2:facade:0, Кабельный фасад - Красный песок
appliedenergistics2:facade:0, Кабельный фасад - Гравий
appliedenergistics2:facade:0, Кабельный фасад - Золотая руда
appliedenergistics2:facade:0, Кабельный фасад - Железная руда
appliedenergistics2:facade:0, Кабельный фасад - Каменный уголь
appliedenergistics2:facade:0, Кабельный фасад - Дуб
appliedenergistics2:facade:0, Кабельный фасад - Ель
appliedenergistics2:facade:0, Кабельный фасад - Берёза
appliedenergistics2:facade:0, Кабельный фасад - Тропическое дерево
appliedenergistics2:facade:0, Кабельный фасад - Дубовые листья
appliedenergistics2:facade:0, Кабельный фасад - Хвоя
appliedenergistics2:facade:0, Кабельный фасад - Берёзовые листья
appliedenergistics2:facade:0, Кабельный фасад - Листья тропического дерева
appliedenergistics2:facade:0, Кабельный фасад - Губка
appliedenergistics2:facade:0, Кабельный фасад - Мокрая губка
appliedenergistics2:facade:0, Кабельный фасад - Стекло
appliedenergistics2:facade:0, Кабельный фасад - Лазуритовая руда
appliedenergistics2:facade:0, Кабельный фасад - Лазуритовый блок
appliedenergistics2:facade:0, Кабельный фасад - Песчаник
appliedenergistics2:facade:0, Кабельный фасад - Резной песчаник
appliedenergistics2:facade:0, Кабельный фасад - Гладкий песчаник
appliedenergistics2:facade:0, Кабельный фасад - Белая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Оранжевая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Пурпурная шерсть
appliedenergistics2:facade:0, Кабельный фасад - Голубая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Жёлтая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Лаймовая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Розовая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Серая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Светло-серая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Бирюзовая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Фиолетовая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Синяя шерсть
appliedenergistics2:facade:0, Кабельный фасад - Коричневая шерсть
appliedenergistics2:facade:0, Кабельный фасад - Зелёная шерсть
appliedenergistics2:facade:0, Кабельный фасад - Красная шерсть
appliedenergistics2:facade:0, Кабельный фасад - Чёрная шерсть
appliedenergistics2:facade:0, Кабельный фасад - Золотой блок
appliedenergistics2:facade:0, Кабельный фасад - Железный блок
appliedenergistics2:facade:0, Кабельный фасад - Каменная плита
appliedenergistics2:facade:0, Кабельный фасад - Каменная плита
appliedenergistics2:facade:0, Кабельный фасад - Каменная плита
appliedenergistics2:facade:0, Кабельный фасад - Каменная плита
appliedenergistics2:facade:0, Кабельный фасад - Каменная плита
appliedenergistics2:facade:0, Кабельный фасад - Каменная плита
appliedenergistics2:facade:0, Кабельный фасад - Каменная плита
appliedenergistics2:facade:0, Кабельный фасад - Кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Динамит
appliedenergistics2:facade:0, Кабельный фасад - Книжная полка
appliedenergistics2:facade:0, Кабельный фасад - Замшелый булыжник
appliedenergistics2:facade:0, Кабельный фасад - Обсидиан
appliedenergistics2:facade:0, Кабельный фасад - Алмазная руда
appliedenergistics2:facade:0, Кабельный фасад - Алмазный блок
appliedenergistics2:facade:0, Кабельный фасад - Верстак
appliedenergistics2:facade:0, Кабельный фасад - Редстоуновая руда
appliedenergistics2:facade:0, Кабельный фасад - Лёд
appliedenergistics2:facade:0, Кабельный фасад - Снег
appliedenergistics2:facade:0, Кабельный фасад - Глина
appliedenergistics2:facade:0, Кабельный фасад - Тыква
appliedenergistics2:facade:0, Кабельный фасад - Незерит
appliedenergistics2:facade:0, Кабельный фасад - Песок душ
appliedenergistics2:facade:0, Кабельный фасад - Светокамень
appliedenergistics2:facade:0, Кабельный фасад - Светильник Джека
appliedenergistics2:facade:0, Кабельный фасад - Белое стекло
appliedenergistics2:facade:0, Кабельный фасад - Оранжевое стекло
appliedenergistics2:facade:0, Кабельный фасад - Пурпурное стекло
appliedenergistics2:facade:0, Кабельный фасад - Голубое стекло
appliedenergistics2:facade:0, Кабельный фасад - Жёлтое стекло
appliedenergistics2:facade:0, Кабельный фасад - Лаймовое стекло
appliedenergistics2:facade:0, Кабельный фасад - Розовое стекло
appliedenergistics2:facade:0, Кабельный фасад - Серое стекло
appliedenergistics2:facade:0, Кабельный фасад - Светло-серое стекло
appliedenergistics2:facade:0, Кабельный фасад - Бирюзовое стекло
appliedenergistics2:facade:0, Кабельный фасад - Фиолетовое стекло
appliedenergistics2:facade:0, Кабельный фасад - Синее стекло
appliedenergistics2:facade:0, Кабельный фасад - Коричневое стекло
appliedenergistics2:facade:0, Кабельный фасад - Зелёное стекло
appliedenergistics2:facade:0, Кабельный фасад - Красное стекло
appliedenergistics2:facade:0, Кабельный фасад - Чёрное стекло
appliedenergistics2:facade:0, Кабельный фасад - Камень с монстрами
appliedenergistics2:facade:0, Кабельный фасад - Булыжник с монстрами
appliedenergistics2:facade:0, Кабельный фасад - Каменный кирпич с монстрами
appliedenergistics2:facade:0, Кабельный фасад - Замшелый каменный кирпич с монстрами
appliedenergistics2:facade:0, Кабельный фасад - Потрескавшийся каменный кирпич с монстрами
appliedenergistics2:facade:0, Кабельный фасад - Резной каменный кирпич с монстрами
appliedenergistics2:facade:0, Кабельный фасад - Каменные кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Замшелые каменные кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Потрескавшиеся каменные кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Резные каменные кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Гриб
appliedenergistics2:facade:0, Кабельный фасад - Гриб
appliedenergistics2:facade:0, Кабельный фасад - Арбуз
appliedenergistics2:facade:0, Кабельный фасад - Мицелий
appliedenergistics2:facade:0, Кабельный фасад - Незеритовые кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Эндерняк
appliedenergistics2:facade:0, Кабельный фасад - Редстоуновый фонарь
appliedenergistics2:facade:0, Кабельный фасад - Изумрудная руда
appliedenergistics2:facade:0, Кабельный фасад - Изумрудный блок
appliedenergistics2:facade:0, Кабельный фасад - Редстоуновый блок
appliedenergistics2:facade:0, Кабельный фасад - Незер-кварцевая руда
appliedenergistics2:facade:0, Кабельный фасад - Кварцевый блок
appliedenergistics2:facade:0, Кабельный фасад - Резной кварцевый блок
appliedenergistics2:facade:0, Кабельный фасад - Кварцевая колонна
appliedenergistics2:facade:0, Кабельный фасад - Белая керамика
appliedenergistics2:facade:0, Кабельный фасад - Оранжевая керамика
appliedenergistics2:facade:0, Кабельный фасад - Пурпурная керамика
appliedenergistics2:facade:0, Кабельный фасад - Голубая керамика
appliedenergistics2:facade:0, Кабельный фасад - Жёлтая керамика
appliedenergistics2:facade:0, Кабельный фасад - Лаймовая керамика
appliedenergistics2:facade:0, Кабельный фасад - Розовая керамика
appliedenergistics2:facade:0, Кабельный фасад - Серая керамика
appliedenergistics2:facade:0, Кабельный фасад - Светло-серая керамика
appliedenergistics2:facade:0, Кабельный фасад - Бирюзовая керамика
appliedenergistics2:facade:0, Кабельный фасад - Фиолетовая керамика
appliedenergistics2:facade:0, Кабельный фасад - Синяя керамика
appliedenergistics2:facade:0, Кабельный фасад - Коричневая керамика
appliedenergistics2:facade:0, Кабельный фасад - Зелёная керамика
appliedenergistics2:facade:0, Кабельный фасад - Красная керамика
appliedenergistics2:facade:0, Кабельный фасад - Чёрная керамика
appliedenergistics2:facade:0, Кабельный фасад - Листья акации
appliedenergistics2:facade:0, Кабельный фасад - Листья тёмного дуба
appliedenergistics2:facade:0, Кабельный фасад - Акация
appliedenergistics2:facade:0, Кабельный фасад - Тёмный дуб
appliedenergistics2:facade:0, Кабельный фасад - Блок слизи
appliedenergistics2:facade:0, Кабельный фасад - Призмарин
appliedenergistics2:facade:0, Кабельный фасад - Призмариновые кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Тёмный призмарин
appliedenergistics2:facade:0, Кабельный фасад - Морской фонарь
appliedenergistics2:facade:0, Кабельный фасад - Сноп сена
appliedenergistics2:facade:0, Кабельный фасад - Терракота
appliedenergistics2:facade:0, Кабельный фасад - Угольный блок
appliedenergistics2:facade:0, Кабельный фасад - Плотный лёд
appliedenergistics2:facade:0, Кабельный фасад - Красный песчаник
appliedenergistics2:facade:0, Кабельный фасад - Резной красный песчаник
appliedenergistics2:facade:0, Кабельный фасад - Гладкий красный песчаник
appliedenergistics2:facade:0, Кабельный фасад - Пурпур
appliedenergistics2:facade:0, Кабельный фасад - Пурпуровый пилон
appliedenergistics2:facade:0, Кабельный фасад - Эндерняковые кирпичи
appliedenergistics2:facade:0, Кабельный фасад - Магма
appliedenergistics2:facade:0, Кабельный фасад - Блок нароста из Незера
appliedenergistics2:facade:0, Кабельный фасад - Красный незеритовый кирпич
appliedenergistics2:facade:0, Кабельный фасад - Костный блок
appliedenergistics2:facade:0, Кабельный фасад - Наблюдатель
appliedenergistics2:facade:0, Кабельный фасад - Белая глазурованная керамика
appliedenergistics2:facade:0, Кабельный фасад - Оранжевая глазурованная керамика
appliedenergistics2:facade:0, Кабельный фасад - Пурпурная глазурованная керамика
appliedenergistics2:facade:0, Кабельный фасад - Голубая глазурованная керамика
appliedenergistics2:facade:0, Кабельный фасад - Жёлтая глазурованная керамика
appliedenergistics2:facade:0, Кабельный фасад - Лаймовая глазурованная керамика
appliedenergistics2:facade:0, Кабельный фасад - Розовая глазурованная керамика
